target	source	label
property(X,urine_sample,Y,negative,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006


property(X,urine_sample,Y,negative,n4_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	stimulant(Y)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,alcohol,negative,n4_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	stimulant(Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,A,n4_weeks)	property(X,location,outpatient)	CTN-0006
property(X,abstinence,A,n4_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,A,n4_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,A,n4_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,A,n4_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,A,n4_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,A,n4_weeks)	stimulant(Y)	CTN-0006
property(X,abstinence,A,n4_weeks)	opioid(A)	CTN-0006
property(X,abstinence,A,n4_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,Y,n4_weeks)	property(X,location,outpatient) CTN-0006
property(X,abstinence,Y,n4_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,Y,n4_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,Y,n4_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,Y,n4_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,Y,n4_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,Y,n4_weeks)	stimulant(Y)	CTN-0006
property(X,abstinence,Y,n4_weeks)	opioid(A)	CTN-0006
property(X,abstinence,Y,n4_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,Y,negative,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,alcohol,negative,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,A,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,abstinence,A,n8_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,A,n8_weeks)	property(X,dependence,Z)	CTN-0006
property(X,abstinence,A,n8_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,A,n8_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,A,n8_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,A,n8_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,A,n8_weeks)	opioid(A)	CTN-0006
property(X,abstinence,A,n8_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,Y,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,abstinence,Y,n8_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,Y,n8_weeks)	property(X,dependence,Z)	CTN-0006
property(X,abstinence,Y,n8_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,Y,n8_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,Y,n8_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,Y,n8_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,Y,n8_weeks)	opioid(A)	CTN-0006
property(X,abstinence,Y,n8_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,Y,negative,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,A,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,abstinence,A,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,A,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,abstinence,A,n12_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,A,n12_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,A,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,A,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,A,n12_weeks)	opioid(A)	CTN-0006
property(X,abstinence,A,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,Y,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,abstinence,Y,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,Y,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,abstinence,Y,n12_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,Y,n12_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,Y,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,Y,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,Y,n12_weeks)	opioid(A)	CTN-0006
property(X,abstinence,Y,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,use,nicotine,just_after_treatment)	receive(X,nicotine)	CTN-0009
property(X,use,nicotine,just_after_treatment)	property(X,use,nicotine)	CTN-0009
property(X,use,nicotine,just_after_treatment)	property(X,location,outpatient)	CTN-0009
property(X,use,nicotine,just_after_treatment)	property(X,dependence,alcohol)	CTN-0009
property(X,use,nicotine,just_after_treatment)	property(X,dependence,Y)	CTN-0009
property(X,use,nicotine,just_after_treatment)	opioid(Y)	CTN-0009

property(X,use,nicotine,n13_weeks)	receive(X,nicotine)	CTN-0009
property(X,use,nicotine,n13_weeks)	property(X,use,nicotine)	CTN-0009
property(X,use,nicotine,n13_weeks)	property(X,location,outpatient)	CTN-0009
property(X,use,nicotine,n13_weeks)	property(X,dependence,alcohol)	CTN-0009
property(X,use,nicotine,n13_weeks)	property(X,dependence,Y)	CTN-0009
property(X,use,nicotine,n13_weeks)	opioid(Y)	CTN-0009

property(X,use,nicotine,n26_weeks)	receive(X,nicotine)	CTN-0009
property(X,use,nicotine,n26_weeks)	property(X,use,nicotine)	CTN-0009
property(X,use,nicotine,n26_weeks)	property(X,location,outpatient)	CTN-0009
property(X,use,nicotine,n26_weeks)	property(X,dependence,alcohol)	CTN-0009
property(X,use,nicotine,n26_weeks)	property(X,dependence,Y)	CTN-0009
property(X,use,nicotine,n26_weeks)	opioid(Y)	CTN-0009

property(X,urine_sample,opioids,positive,n4_weeks)	property(X,dependence,opioids)	CTN-0010
property(X,urine_sample,opioids,positive,n4_weeks)	property(X,location,outpatient)	CTN-0010
property(X,urine_sample,opioids,positive,n4_weeks)	property(X,age,youth)	CTN-0010
property(X,urine_sample,opioids,positive,n4_weeks)	receive(X,buprenorphine_naloxone)	CTN-0010
property(X,urine_sample,opioids,positive,n4_weeks)	receive(X,detoxification)	CTN-0010
property(X,urine_sample,opioids,positive,n4_weeks)	receive(X,buprenorphine)	CTN-0010

property(X,urine_sample,opioids,positive,n8_weeks)	property(X,dependence,opioids)	CTN-0010
property(X,urine_sample,opioids,positive,n8_weeks)	property(X,location,outpatient)	CTN-0010
property(X,urine_sample,opioids,positive,n8_weeks)	property(X,age,youth)	CTN-0010
property(X,urine_sample,opioids,positive,n8_weeks)	receive(X,buprenorphine_naloxone)	CTN-0010
property(X,urine_sample,opioids,positive,n8_weeks)	receive(X,detoxification)	CTN-0010
property(X,urine_sample,opioids,positive,n8_weeks)	receive(X,buprenorphine)	CTN-0010

property(X,urine_sample,opioids,positive,n12_weeks)	property(X,dependence,opioids)	CTN-0010
property(X,urine_sample,opioids,positive,n12_weeks)	property(X,location,outpatient)	CTN-0010
property(X,urine_sample,opioids,positive,n12_weeks)	property(X,age,youth)	CTN-0010
property(X,urine_sample,opioids,positive,n12_weeks)	receive(X,buprenorphine_naloxone)	CTN-0010
property(X,urine_sample,opioids,positive,n12_weeks)	receive(X,detoxification)	CTN-0010
property(X,urine_sample,opioids,positive,n12_weeks)	receive(X,buprenorphine)	CTN-0010

remain(X,in_treatment,n12_weeks)	property(X,dependence,opioids)	CTN-0010
remain(X,in_treatment,n12_weeks)	property(X,location,outpatient)	CTN-0010
remain(X,in_treatment,n12_weeks)	property(X,age,youth)	CTN-0010
remain(X,in_treatment,n12_weeks)	receive(X,counseling)	CTN-0010
remain(X,in_treatment,n12_weeks)	receive(X,detoxification)	CTN-0010
remain(X,in_treatment,n12_weeks)	receive(X,buprenorphine_naloxone)	CTN-0010

participate(X,in_treatment)	receive(X,phone_call)	CTN-0011
participate(X,in_treatment)	\+receive(X,phone_call)	CTN-0011

remain(X,in_treatment,n1_month)	property(X,dependence,Y)	CTN-0013
remain(X,in_treatment,n1_month)	substance(Y)	CTN-0013
remain(X,in_treatment,n1_month)	property(X,pregnancy,positive)	CTN-0013


property(X,urine_sample,opioids,positive,n1_year)	property(X,age,adolescent)	CTN-0014
property(X,urine_sample,opioids,positive,n1_year)	property(X,ethnicity,hispanic)	CTN-0014
property(X,urine_sample,opioids,positive,n1_year)	property(X,ethnicity,white)	CTN-0014
property(X,urine_sample,opioids,positive,n1_year)	property(X,ethnicity,black)	CTN-0014
property(X,urine_sample,opioids,positive,n1_year)	receive(X,treatment_as_usual)	CTN-0014
property(X,urine_sample,opioids,positive,n1_year)	receive(X,beavioral_strategic_family_therapy)	CTN-0014

property(X,substance_use,decrease)	property(X,gender,female)	CTN-0015
property(X,substance_use,decrease)	property(X,dependence,Y)	CTN-0015
property(X,substance_use,decrease)	property(X,location,outpatient)	CTN-0015
property(X,substance_use,decrease)	property(X,diagnosis,ptsd)	CTN-0015
property(X,substance_use,decrease)	substance(Y)	CTN-0015
property(X,substance_use,decrease)	receive(X,womens_health_education)	CTN-0015
property(X,substance_use,decrease)	receive(X,seeking_safety)	CTN-0015

property(X,substance_use,decrease)	property(X,inject,Y)	CTN-0017
property(X,substance_use,decrease)	substance(Y)	CTN-0017
property(X,substance_use,decrease)	receive(X,counseling_and_education)	CTN-0017
property(X,substance_use,decrease)	receive(X,therapeutic_alliance)	CTN-0017
property(X,substance_use,decrease)	receive(X,treatment_as_usual)	CTN-0017

property(X,risky_behavior,decrease)	property(X,inject,Y)	CTN-0017
property(X,risky_behavior,decrease)	substance(Y)	CTN-0017
property(X,risky_behavior,decrease)	receive(X,counseling_and_education)	CTN-0017
property(X,risky_behavior,decrease)	receive(X,therapeutic_alliance)	CTN-0017
property(X,risky_behavior,decrease)	receive(X,treatment_as_usual)	CTN-0017

property(X,increase_attendance,hiv_testing_appointment)	property(X,inject,Y) CTN-0017
property(X,increase_attendance,hiv_testing_appointment)	substance(Y)	CTN-0017
property(X,increase_attendance,hiv_testing_appointment)	receive(X,counseling_and_education)	CTN-0017
property(X,increase_attendance,hiv_testing_appointment) receive(X,therapeutic_alliance)	CTN-0017
property(X,increase_attendance,hiv_testing_appointment)	receive(X,treatment_as_usual)	CTN-0017 

property(X,decrease,unprotected_sexual_encounters)	property(X,gender,male)	CTN-0018
property(X,decrease,unprotected_sexual_encounters)	property(X,dependence,Y)	CTN-0018
property(X,decrease,unprotected_sexual_encounters)	receive(X,outpatient_psychosocial_treatment)	CTN-0018
property(X,decrease,unprotected_sexual_encounters)	substance(Y)	CTN-0018
property(X,decrease,unprotected_sexual_encounters)	receive(X,methadone)	CTN-0018
property(X,decrease,unprotected_sexual_encounters)	receive(X,outpatient_psychosocial_treatment)	CTN-0018

property(X,increase,unprotected_sexual_encounters)	property(X,gender,male)	CTN-0018
property(X,increase,unprotected_sexual_encounters)	property(X,dependence,Y)	CTN-0018
property(X,increase,unprotected_sexual_encounters)	receive(X,outpatient_psychosocial_treatment)	CTN-0018
property(X,increase,unprotected_sexual_encounters)	substance(Y)	CTN-0018
property(X,increase,unprotected_sexual_encounters)	receive(X,methadone)	CTN-0018
property(X,increase,unprotected_sexual_encounters)	receive(X,outpatient_psychosocial_treatment)	CTN-0018

property(X,decrease,unprotected_sexual_encounters,n3_months)	property(X,gender,female)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n3_months)	property(X,use,Y)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n3_months)	substance(Y)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n3_months)	receive(X,methadone)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n3_months)	receive(X,outpatient_psychosocial_treatment)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n3_months)	receive(X,safer_skills_building)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n3_months)	receive(X,hiv_ed)	CTN-0019

property(X,increase,unprotected_sexual_encounters,n3_months)	property(X,gender,female)	CTN-0019
property(X,increase,unprotected_sexual_encounters,n3_months)	property(X,use,Y)	CTN-0019
property(X,increase,unprotected_sexual_encounters,n3_months)	substance(Y)	CTN-0019
property(X,increase,unprotected_sexual_encounters,n3_months)	receive(X,methadone)	CTN-0019
property(X,increase,unprotected_sexual_encounters,n3_months)	receive(X,outpatient_psychosocial_treatment) CTN-0019
property(X,increase,unprotected_sexual_encounters,n3_months)	receive(X,safer_skills_building)	CTN-0019
property(X,increase,unprotected_sexual_encounters,n3_months)	receive(X,hiv_ed)	CTN-0019

property(X,decrease,unprotected_sexual_encounters,n6_months)	property(X,gender,female)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n6_months)	property(X,use,Y)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n6_months)	substance(Y)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n6_months)	receive(X,methadone)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n6_months)	receive(X,outpatient_psychosocial_treatment)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n6_months)	receive(X,safer_skills_building)	CTN-0019
property(X,decrease,unprotected_sexual_encounters,n6_months)	receive(X,hiv_ed)	CTN-0019

property(X,increase,unprotected_sexual_encounters,n6_months)	property(X,gender,female)	CTN-0019
property(X,increase,unprotected_sexual_encounters,n6_months)	property(X,use,Y)	CTN-0019
property(X,increase,unprotected_sexual_encounters,n6_months)	substance(Y)	CTN-0019
property(X,increase,unprotected_sexual_encounters,n6_months)	receive(X,methadone)	CTN-0019
property(X,increase,unprotected_sexual_encounters,n6_months)	receive(X,outpatient_psychosocial_treatment)	CTN-0019
