"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"81.0","interacts with","receive(X,clonidine) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","receive(X,clonidine) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"79.0","interacts with","property(clonidine,duration,n13_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(clonidine,duration,n13_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,negative,n1_month)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,negative,n1_month)"
"72.0","interacts with","property(buprenorphine,duration,n28_days) (interacts with) property(X,urine_sample,opioids,negative,n1_month)","false","interacts with","property(buprenorphine,duration,n28_days) (interacts with) property(X,urine_sample,opioids,negative,n1_month)"
"70.0","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,negative,n1_month)","false","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,negative,n1_month)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,n1_month)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,n1_month)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,negative,n3_month)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,negative,n3_month)"
"72.0","interacts with","property(buprenorphine,duration,n28_days) (interacts with) property(X,urine_sample,opioids,negative,n3_month)","false","interacts with","property(buprenorphine,duration,n28_days) (interacts with) property(X,urine_sample,opioids,negative,n3_month)"
"70.0","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,negative,n3_month)","false","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,negative,n3_month)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,n3_month)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,n3_month)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,negative,n1_month)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,negative,n1_month)"
"62.0","interacts with","property(buprenorphine,duration,n7_days) (interacts with) property(X,urine_sample,opioids,negative,n1_month)","false","interacts with","property(buprenorphine,duration,n7_days) (interacts with) property(X,urine_sample,opioids,negative,n1_month)"
"70.0","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,negative,n1_month)","false","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,negative,n1_month)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,n1_month)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,n1_month)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,positive,n3_month)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,positive,n3_month)"
"62.0","interacts with","property(buprenorphine,duration,n7_days) (interacts with) property(X,urine_sample,opioids,positive,n3_month)","false","interacts with","property(buprenorphine,duration,n7_days) (interacts with) property(X,urine_sample,opioids,positive,n3_month)"
"70.0","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,positive,n3_month)","false","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,positive,n3_month)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,positive,n3_month)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,positive,n3_month)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"72.0","interacts with","property(buprenorphine,duration,n28_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(buprenorphine,duration,n28_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"70.0","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"76.0","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","receive(X,buprenorphine) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"62.0","interacts with","property(buprenorphine,duration,n7_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(buprenorphine,duration,n7_days) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"70.0","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(buprenorphine,dosing,taper) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)","false","interacts with","property(X,dependence,opioids) (interacts with) property(X,urine_sample,opioids,negative,just_after_treatment)"
"51.0","interacts with","receive(X,care_as_usual) (interacts with) remain(X,in_therapy,n4_weeks)","false","interacts with","receive(X,care_as_usual) (interacts with) remain(X,in_therapy,n4_weeks)"
"48.0","interacts with","receive(X,motivational_enhancement) (interacts with) remain(X,in_therapy,n4_weeks)","false","interacts with","receive(X,motivational_enhancement) (interacts with) remain(X,in_therapy,n4_weeks)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) remain(X,in_therapy,n4_weeks)","false","interacts with","property(X,dependence,opioids) (interacts with) remain(X,in_therapy,n4_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_therapy,n4_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_therapy,n4_weeks)"
"51.0","interacts with","receive(X,care_as_usual) (interacts with) remain(X,in_therapy,n12_weeks)","false","interacts with","receive(X,care_as_usual) (interacts with) remain(X,in_therapy,n12_weeks)"
"48.0","interacts with","receive(X,motivational_enhancement) (interacts with) remain(X,in_therapy,n12_weeks)","false","interacts with","receive(X,motivational_enhancement) (interacts with) remain(X,in_therapy,n12_weeks)"
"93.0","interacts with","property(X,dependence,opioids) (interacts with) remain(X,in_therapy,n12_weeks)","false","interacts with","property(X,dependence,opioids) (interacts with) remain(X,in_therapy,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_therapy,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_therapy,n12_weeks)"
"51.0","interacts with","receive(X,care_as_usual) (interacts with) property(X,urine_sample,Y,positive)","false","interacts with","receive(X,care_as_usual) (interacts with) property(X,urine_sample,Y,positive)"
"39.0","interacts with","receive(X,motivational_enhancement)) (interacts with) property(X,urine_sample,Y,positive)","false","interacts with","receive(X,motivational_enhancement)) (interacts with) property(X,urine_sample,Y,positive)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,positive)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,positive)"
"34.0","interacts with","substance(Y) (interacts with) property(X,urine_sample,Y,positive)","false","interacts with","substance(Y) (interacts with) property(X,urine_sample,Y,positive)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,positive)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,positive)"
"33.0","interacts with","receive(X,motivational_interviewing) (interacts with) remain(X,in_therapy,n28_days)","false","interacts with","receive(X,motivational_interviewing) (interacts with) remain(X,in_therapy,n28_days)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) remain(X,in_therapy,n28_days)","false","interacts with","property(X,dependence,Y) (interacts with) remain(X,in_therapy,n28_days)"
"34.0","interacts with","substance(Y) (interacts with) remain(X,in_therapy,n28_days)","false","interacts with","substance(Y) (interacts with) remain(X,in_therapy,n28_days)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_therapy,n28_days)","false","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_therapy,n28_days)"
"33.0","interacts with","receive(X,motivational_interviewing) (interacts with) property(X,urine_sample,Y,positive,n28_days)","false","interacts with","receive(X,motivational_interviewing) (interacts with) property(X,urine_sample,Y,positive,n28_days)"
"26.0","interacts with","receive(X,standard_care) (interacts with) property(X,urine_sample,Y,positive,n28_days)","false","interacts with","receive(X,standard_care) (interacts with) property(X,urine_sample,Y,positive,n28_days)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,positive,n28_days)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,positive,n28_days)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,positive,n28_days)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,positive,n28_days)"
"34.0","interacts with","substance(Y) (interacts with) property(X,urine_sample,Y,positive,n28_days)","false","interacts with","substance(Y) (interacts with) property(X,urine_sample,Y,positive,n28_days)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_therapy,n84_days)","false","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_therapy,n84_days)"
"33.0","interacts with","receive(X,motivational_interviewing) (interacts with) remain(X,in_therapy,n84_days)","false","interacts with","receive(X,motivational_interviewing) (interacts with) remain(X,in_therapy,n84_days)"
"26.0","interacts with","receive(X,standard_care) (interacts with) remain(X,in_therapy,n84_days)","false","interacts with","receive(X,standard_care) (interacts with) remain(X,in_therapy,n84_days)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) remain(X,in_therapy,n84_days)","false","interacts with","property(X,dependence,Y) (interacts with) remain(X,in_therapy,n84_days)"
"34.0","interacts with","substance(Y) (interacts with) remain(X,in_therapy,n84_days)","false","interacts with","substance(Y) (interacts with) remain(X,in_therapy,n84_days)"
"15.0","interacts with","receive(X,counseling) (interacts with) remain(X,in_treatment,n4_weeks)","false","interacts with","receive(X,counseling) (interacts with) remain(X,in_treatment,n4_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_treatment,n4_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) remain(X,in_treatment,n4_weeks)"
"9.0","interacts with","property(X,use,cocaine) (interacts with) remain(X,in_treatment,n4_weeks)","false","interacts with","property(X,use,cocaine) (interacts with) remain(X,in_treatment,n4_weeks)"
"6.0","interacts with","property(X,use,methamphetamine) (interacts with) remain(X,in_treatment,n4_weeks)","false","interacts with","property(X,use,methamphetamine) (interacts with) remain(X,in_treatment,n4_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)"
"9.0","interacts with","property(X,use,cocaine) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)","false","interacts with","property(X,use,cocaine) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)"
"6.0","interacts with","property(X,use,methamphetamine) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)","false","interacts with","property(X,use,methamphetamine) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)"
"9.0","interacts with","property(X,use,cocaine) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)","false","interacts with","property(X,use,cocaine) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)"
"6.0","interacts with","property(X,use,methamphetamine) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)","false","interacts with","property(X,use,methamphetamine) (interacts with) property(X,urine_sample,opioids,negative,n4_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)"
"9.0","interacts with","property(X,use,cocaine) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)","false","interacts with","property(X,use,cocaine) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)"
"6.0","interacts with","property(X,use,methamphetamine) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)","false","interacts with","property(X,use,methamphetamine) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)"
"9.0","interacts with","property(X,use,cocaine) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)","false","interacts with","property(X,use,cocaine) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)"
"6.0","interacts with","property(X,use,methamphetamine) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)","false","interacts with","property(X,use,methamphetamine) (interacts with) property(X,urine_sample,opioids,negative,n8_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)"
"9.0","interacts with","property(X,use,cocaine) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)","false","interacts with","property(X,use,cocaine) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)"
"6.0","interacts with","property(X,use,methamphetamine) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)","false","interacts with","property(X,use,methamphetamine) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)"
"150.0","interacts with","property(X,use,Y) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)","false","interacts with","property(X,use,Y) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)"
"148.0","interacts with","stimulant(Y)) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)","false","interacts with","stimulant(Y)) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)"
"507.0","interacts with","property(X,use,alcohol) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)","false","interacts with","property(X,use,alcohol) (interacts with) property(X,urine_sample,opioids,negative,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,Y,negative,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"143.0","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","property(X,dependence,Z) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,alcohol,negative,n12_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)"
"131.0","interacts with","stimulant(Y) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)","false","interacts with","stimulant(Y) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)","false","interacts with","opioid(A) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,Y,negative,n4_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)"
"131.0","interacts with","stimulant(Y) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)","false","interacts with","stimulant(Y) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)","false","interacts with","opioid(A) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,urine_sample,alcohol,negative,n4_weeks)"
"87.0","interacts with","property(X,location,outpatient) (interacts with) property(X,abstinence,A,n4_weeks)","false","interacts with","property(X,location,outpatient) (interacts with) property(X,abstinence,A,n4_weeks)"
"36.0","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,A,n4_weeks)","false","interacts with","property(X,dependence,Y) (interacts with) property(X,abstinence,A,n4_weeks)"
"141.0","interacts with","stimulant(Z) (interacts with) property(X,abstinence,A,n4_weeks)","false","interacts with","stimulant(Z) (interacts with) property(X,abstinence,A,n4_weeks)"
"140.0","interacts with","opioid(Y) (interacts with) property(X,abstinence,A,n4_weeks)","false","interacts with","opioid(Y) (interacts with) property(X,abstinence,A,n4_weeks)"
"15.0","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,A,n4_weeks)","false","interacts with","receive(X,counseling) (interacts with) property(X,abstinence,A,n4_weeks)"
"139.0","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,A,n4_weeks)","false","interacts with","receive(X,methadone) (interacts with) property(X,abstinence,A,n4_weeks)"
"131.0","interacts with","stimulant(Y) (interacts with) property(X,abstinence,A,n4_weeks)","false","interacts with","stimulant(Y) (interacts with) property(X,abstinence,A,n4_weeks)"
"130.0","interacts with","opioid(A) (interacts with) property(X,abstinence,A,n4_weeks)","false","interacts with","opioid(A) (interacts with) property(X,abstinence,A,n4_weeks)"
"3.0","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,A,n4_weeks)","false","interacts with","receive(X,abstinence_based_incentive) (interacts with) property(X,abstinence,A,n4_weeks)"
